"RucProveedor","CodProducto","CodProducto2","CodProducto3","Producto","UnidaMedidaCompra","FactorVenta","FactorConversion","PesoUnitario","PesoCaja","CostoCaja"
"20514584789","91056628","","","017-BONIF COCOA WINTERS 12DISP X50UND X10G (UNIDADES)",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789","01057533","","","017-BONI UND CHOCOL. WINTERS BEST 20G X 350UND GRL. PE",CAJA,350.0000,350.0000,0.0200000000000000000,7.0000,
"20514584789",B1044708,"","","017-BONI (UND) GLINA. MINO CHOCOPUNCH 8GR",UNIDAD,1.0000,1.0000,0.0100000000000000000,0.0080,
"20514584789","91029998","","","017-BONIF. COCOA WINTERS NI 01 UND X 11G",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789","01041907","","","017-GLINA. MONTBLANC ALMENDRA 24EX3UX13G PE",CAJA,24.0000,24.0000,0.0000000000000000000,0.0000,
"20514584789","01042782","","","017-GLINA.MONTBLANC BITTER 73% 3DSPX10UX80G",CAJA,3.0000,3.0000,0.0000000000000000000,0.0000,
"20514584789","04016179","","","017-PE BOLSA PANETON WINTERS",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789","99999002","","","017-POLO MCORTA MONTERREY",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789","01068804","","","017-PASAB. GRANUTS KRAKS ORIE 8PEX12UNDX50GR PE",CAJA,8.0000,8.0000,0.6000000000000000000,4.8000,129.9900000000
"20514584789","01071765","","","017-COCOA WINTERS RESPCJX6UNDX900GR",CAJA,6.0000,6.0000,1.2000000000000000000,7.2000,259.1850000000
"20514584789","01072129","","","017-PANETON WINTERS SIN AGREGADOS 6UNDX500GR FP",CAJA,6.0000,6.0000,0.5000000000000000000,3.0000,85.5475020000
"20514584789","01072239","","","017-3 EN 1 COLCAFE FCO. CJA X 12UND X 380GR",CAJA,12.0000,12.0000,0.7800000000000000000,9.3000,212.8425000000
"20514584789","01072352","","","017-GTA. PICARAS EXTREMAS 30BSX6UNDX38GR",CAJA,30.0000,30.0000,0.2300000000000000000,6.8400,147.7400100000
"20514584789","01072598","","","017-COCOA LA ABUELITA WINTERS BS X30U X150GR",CAJA,30.0000,30.0000,0.1500000000000000000,4.5000,105.3153900000
"20514584789","01073437","","","017-GLINA. CHIN CHIN MINI HALLOWEEN 16BOLX32UNDX7GR NF",CAJA,16.0000,16.0000,0.2200000000000000000,3.5840,177.1700000000
